#SNo,District Name,SCST,Minority,Others,Total
,Total,777240,476676,2731087,3508327
1,ARARIA,44681,79756,162733,207414
2,ARWAL,8454,571,11966,20420
3,AURANAGABAD,39228,3183,38825,78053
4,BANKA,21072,12196,90272,111344
5,BEGUSARAI,11843,11258,112436,124279
6,BHAGALPUR,9853,11665,75396,85249
7,BHOJPUR,27794,2666,58015,85809
8,BUXAR,9882,493,15384,25266
9,DARBHANGA,18921,51790,195979,214900
10,GAYA,95860,6873,71974,167834
11,GOPALGANJ,4900,1491,18031,22931
12,JAMUI,17258,4669,42624,59882
13,JEHANABAD,8221,772,16231,24452
14,KAIMUR (BHABUA),18724,1332,20546,39270
15,KATIHAR,5900,35903,79688,85588
16,KHAGARIA,6513,5984,74720,81233
17,KISHANGANJ,2323,14050,21265,23588
18,LAKHISARAI,10084,394,14912,24996
19,MADHEPURA,15926,9620,70827,86753
20,MADHUBANI,26044,27136,150946,176990
21,MUNGER,7208,431,26899,34107
22,MUZAFFARPUR,3482,11999,99921,103403
23,NALANDA,22788,735,27624,50412
24,NAWADA,54601,2155,33048,87649
25,PASHCHIM CHAMPARAN,31750,25276,119420,151170
26,PATNA,34370,2217,89339,123709
27,PURBI CHAMPARAN,23137,28764,159921,183058
28,PURNIA,10227,34426,77553,87780
29,ROHTAS,33041,1785,30915,63956
30,SAHARSA,7402,10842,75501,82903
31,SAMASTIPUR,44634,17963,197424,242058
32,SARAN,16402,3719,61737,78139
33,SHEIKHPURA,9830,249,8539,18369
34,SHEOHAR,2287,3567,25854,28141
35,SITAMARHI,13287,29107,156985,170272
36,SIWAN,10080,2188,20437,30517
37,SUPAUL,13898,12424,74457,88355
38,VAISHALI,35335,7027,102743,138078
,Total,777240,476676,2731087,3508327
